measurement,ms
saveImageToFile_total,4.5626
saveValue_saveImageToFile,4.5723
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6053
addImage_saveValue,4.6138
addImage_updateGui,0.6976
release_event_total,15.7078
stroke_recognition_total,0.1500
release_cursor_clear,0.0259
release_pixmap_to_image AND release_background_applyImage,0.2980
release_image_to_pixmap,0.0061
release_background_clear,0.3857
release_geo_clearAll,0.0022
addImage_index_update,0.0000
addImage_img_copy,1.0361
saveValue_mkpath,0.0095
serialize_image,4.0664
saveImageToFile_total,5.3062
saveValue_saveImageToFile,5.3218
saveValue_removeHistory,0.0004
Storage_addImage_total,5.3659
addImage_saveValue,5.3788
addImage_updateGui,0.8635
release_event_total,8.6650
stroke_recognition_total,0.1567
release_cursor_clear,0.0261
recognized_background_copy,1.1801
recognized_merge_freehand,0.2702
addImage_index_update,0.0000
addImage_img_copy,1.1147
saveValue_mkpath,0.0098
serialize_image,3.3504
saveImageToFile_total,4.4490
saveValue_saveImageToFile,4.4595
saveValue_removeHistory,0.0001
Storage_addImage_total,4.4998
addImage_saveValue,4.5083
addImage_updateGui,0.7105
recognized_add_freehand_history,6.5485
recognized_clear_stroke,0.4279
recognized_draw_ideal_shape,0.0354
release_pixmap_to_image AND release_background_applyImage,0.2045
release_image_to_pixmap,0.0032
release_background_clear,0.5489
release_geo_clearAll,0.0038
addImage_index_update,0.0000
addImage_img_copy,0.4354
saveValue_mkpath,0.0082
serialize_image,3.3284
saveImageToFile_total,4.5162
saveValue_saveImageToFile,4.5260
saveValue_removeHistory,0.0001
Storage_addImage_total,4.5597
addImage_saveValue,4.5681
addImage_updateGui,0.6839
release_event_total,15.5728
stroke_recognition_total,0.1765
release_cursor_clear,0.0276
recognized_background_copy,1.1364
recognized_merge_freehand,0.2786
addImage_index_update,0.0000
addImage_img_copy,1.0698
saveValue_mkpath,0.0101
serialize_image,3.5341
saveImageToFile_total,4.6600
saveValue_saveImageToFile,4.6710
saveValue_removeHistory,0.0001
Storage_addImage_total,4.7082
addImage_saveValue,4.7167
addImage_updateGui,0.8280
recognized_add_freehand_history,6.9272
recognized_clear_stroke,0.4531
recognized_draw_ideal_shape,0.0409
release_pixmap_to_image AND release_background_applyImage,0.2356
release_image_to_pixmap,0.0033
release_background_clear,0.5693
release_geo_clearAll,0.0038
addImage_index_update,0.0000
addImage_img_copy,0.4643
saveValue_mkpath,0.0090
serialize_image,3.4340
saveImageToFile_total,4.7584
saveValue_saveImageToFile,4.7685
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8037
addImage_saveValue,4.8124
addImage_updateGui,0.6795
release_event_total,16.3726
stroke_recognition_total,0.0013
release_cursor_clear,0.0258
release_pixmap_to_image AND release_background_applyImage,0.2647
release_image_to_pixmap,0.0047
release_background_clear,0.3940
release_geo_clearAll,0.0020
addImage_index_update,0.0000
addImage_img_copy,1.0345
saveValue_mkpath,0.0733
serialize_image,3.9324
saveImageToFile_total,5.1840
saveValue_saveImageToFile,5.1967
saveValue_removeHistory,0.0002
Storage_addImage_total,5.3018
addImage_saveValue,5.3113
addImage_updateGui,0.8694
release_event_total,8.5160
stroke_recognition_total,0.0024
release_cursor_clear,0.0249
release_pixmap_to_image AND release_background_applyImage,0.2585
release_image_to_pixmap,0.0042
release_background_clear,0.3968
release_geo_clearAll,0.0019
addImage_index_update,0.0000
addImage_img_copy,1.0591
saveValue_mkpath,0.0113
serialize_image,3.5836
saveImageToFile_total,4.8593
saveValue_saveImageToFile,4.8699
saveValue_removeHistory,0.0001
Storage_addImage_total,4.9075
addImage_saveValue,4.9158
addImage_updateGui,0.7331
release_event_total,7.8304
stroke_recognition_total,0.0997
release_cursor_clear,0.0263
release_pixmap_to_image AND release_background_applyImage,0.2966
release_image_to_pixmap,0.0069
release_background_clear,0.3824
release_geo_clearAll,0.0021
addImage_index_update,0.0000
addImage_img_copy,1.0559
saveValue_mkpath,0.0361
serialize_image,3.5023
saveImageToFile_total,4.7753
saveValue_saveImageToFile,4.7857
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8493
addImage_saveValue,4.8577
addImage_updateGui,0.7152
release_event_total,7.9390
stroke_recognition_total,0.0930
release_cursor_clear,0.0261
release_pixmap_to_image AND release_background_applyImage,0.3014
release_image_to_pixmap,0.0058
release_background_clear,0.4148
release_geo_clearAll,0.0028
addImage_index_update,0.0000
addImage_img_copy,1.0505
saveValue_mkpath,0.0098
serialize_image,3.6434
saveImageToFile_total,4.8931
saveValue_saveImageToFile,4.9038
saveValue_removeHistory,0.0002
Storage_addImage_total,4.9403
addImage_saveValue,4.9486
addImage_updateGui,0.7277
release_event_total,8.1079
stroke_recognition_total,0.0856
release_cursor_clear,0.0208
release_pixmap_to_image AND release_background_applyImage,0.2545
release_image_to_pixmap,0.0044
release_background_clear,0.4565
release_geo_clearAll,0.0029
addImage_index_update,0.0001
addImage_img_copy,1.2661
saveValue_mkpath,0.0092
serialize_image,3.5800
saveImageToFile_total,4.8870
saveValue_saveImageToFile,4.8971
saveValue_removeHistory,0.0001
Storage_addImage_total,4.9325
addImage_saveValue,4.9408
addImage_updateGui,0.7026
release_event_total,8.1162
stroke_recognition_total,0.1435
release_cursor_clear,0.0212
release_pixmap_to_image AND release_background_applyImage,0.2787
release_image_to_pixmap,0.0047
release_background_clear,0.4221
release_geo_clearAll,0.0021
addImage_index_update,0.0000
addImage_img_copy,1.0335
saveValue_mkpath,0.0099
serialize_image,3.5593
saveImageToFile_total,4.8103
saveValue_saveImageToFile,4.8204
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8566
addImage_saveValue,4.8652
addImage_updateGui,0.7045
release_event_total,7.8807
stroke_recognition_total,0.0970
release_cursor_clear,0.0257
release_pixmap_to_image AND release_background_applyImage,0.3068
release_image_to_pixmap,0.0069
release_background_clear,0.4032
release_geo_clearAll,0.0021
addImage_index_update,0.0000
addImage_img_copy,1.0452
saveValue_mkpath,0.0104
serialize_image,3.4232
saveImageToFile_total,4.6054
saveValue_saveImageToFile,4.6158
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6529
addImage_saveValue,4.6613
addImage_updateGui,0.7387
release_event_total,7.7138
stroke_recognition_total,0.0770
release_cursor_clear,0.0198
release_pixmap_to_image AND release_background_applyImage,0.2779
release_image_to_pixmap,0.0043
release_background_clear,0.4617
release_geo_clearAll,0.0028
addImage_index_update,0.0001
addImage_img_copy,1.2447
saveValue_mkpath,0.0098
serialize_image,3.6825
saveImageToFile_total,5.0002
saveValue_saveImageToFile,5.0104
saveValue_removeHistory,0.0001
Storage_addImage_total,5.0467
addImage_saveValue,5.0551
addImage_updateGui,0.7057
release_event_total,8.2509
stroke_recognition_total,0.0695
release_cursor_clear,0.0230
release_pixmap_to_image AND release_background_applyImage,0.2857
release_image_to_pixmap,0.0043
release_background_clear,0.4306
release_geo_clearAll,0.0021
addImage_index_update,0.0000
addImage_img_copy,1.0271
saveValue_mkpath,0.0095
serialize_image,3.6097
saveImageToFile_total,4.8318
saveValue_saveImageToFile,4.8421
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8781
addImage_saveValue,4.8865
addImage_updateGui,0.7675
release_event_total,7.8729
stroke_recognition_total,0.0693
release_cursor_clear,0.0265
release_pixmap_to_image AND release_background_applyImage,0.2642
release_image_to_pixmap,0.0068
release_background_clear,0.3892
release_geo_clearAll,0.0021
addImage_index_update,0.0000
addImage_img_copy,1.0933
saveValue_mkpath,0.0099
serialize_image,3.5942
saveImageToFile_total,4.8245
saveValue_saveImageToFile,4.8349
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8748
addImage_saveValue,4.8831
addImage_updateGui,0.7418
release_event_total,7.8450
stroke_recognition_total,0.0014
release_cursor_clear,0.0246
release_pixmap_to_image AND release_background_applyImage,0.2565
release_image_to_pixmap,0.0044
release_background_clear,0.3827
release_geo_clearAll,0.0018
addImage_index_update,0.0000
addImage_img_copy,1.0035
